cells,panels,penalty_v,penalty_p,cost,sum_d
120,46,10.654321282928187,253.72042344846687,42000,29741.646866580075
130,46,3.325899838787101,242.71644013552867,42740,29741.646866580075
140,46,1.457030568458923,233.44106944900207,43480,29741.646866580075
150,46,1.0603281251862207,225.54231162824848,44220,29741.646866580075
160,46,0.9587730532239509,218.68735575774232,44960,29741.646866580075
170,46,0.9023746383284241,212.7591079305308,45700,29741.646866580075
180,46,0.8522427139768458,207.61193072526774,46440,29741.646866580075
190,46,0.8073878342938523,203.10235031923688,47180,29741.646866580075
200,46,0.7670184425791597,199.1523863610299,47920,29741.646866580075
70,48,1409.5841132426838,534.4276748321682,39740,29741.646866580075
80,48,718.6018932882529,429.3295457799386,40480,29741.646866580075
90,48,309.90028113208615,383.515069442511,41220,29741.646866580075
100,48,112.70684389922171,355.15585461731683,41960,29741.646866580075
110,48,34.524746788069464,333.49103637910474,42700,29741.646866580075
120,48,9.540022877050994,315.8221524972063,43440,29741.646866580075
130,48,2.9712339012305207,301.09392395572127,44180,29741.646866580075
140,48,1.3415051968396061,288.6245263486186,44920,29741.646866580075
150,48,0.9626263429320316,277.92978862840755,45660,29741.646866580075
160,48,0.867177632360649,268.6638509809915,46400,29741.646866580075
170,48,0.8161671833982571,260.61109906109476,47140,29741.646866580075
180,48,0.7708245620983546,253.56792166729824,47880,29741.646866580075
190,48,0.7302548483037034,247.32048564192993,48620,29741.646866580075
200,48,0.6937421058885186,241.80450569691214,49360,29741.646866580075
70,50,1409.4120234786092,625.0038910257091,41180,29741.646866580075
80,50,718.0301603969747,513.9864220118596,41920,29741.646866580075
90,50,308.77299751746796,459.49788739574467,42660,29741.646866580075
100,50,111.38148965787285,425.0791367931532,43400,29741.646866580075
110,50,33.63658564738589,398.1604738357858,44140,29741.646866580075
120,50,9.199490824460419,376.1265764921439,44880,29741.646866580075
130,50,2.886470262097629,357.6203422950914,45620,29741.646866580075
140,50,1.2653011103806593,341.8615547044451,46360,29741.646866580075
150,50,0.8915025289036816,328.3237557505333,47100,29741.646866580075
160,50,0.8004990567090701,316.5794147474887,47840,29741.646866580075
170,50,0.7534108769026542,306.2854964984504,48580,29741.646866580075
180,50,0.7115547170747292,297.22955013194354,49320,29741.646866580075
190,50,0.6741044688076375,289.23821718226293,50060,29741.646866580075
200,50,0.6403992453672556,282.1399529095431,50800,29741.646866580075
70,52,1409.4120234786092,714.0657316994942,42620,29741.646866580075
80,52,717.9467202869647,595.7513816758651,43360,29741.646866580075
90,52,308.3111923371882,533.9527856153333,44100,29741.646866580075
100,52,110.90887865335928,492.99889673923457,44840,29741.646866580075
110,52,33.239025982671066,460.74652622623205,45580,29741.646866580075
120,52,9.107506905363973,434.26278352858634,46320,29741.646866580075
130,52,2.835287632985989,412.01836555013136,47060,29741.646866580075
140,52,1.2177743833484223,393.0769706337939,47800,29741.646866580075
150,52,0.84714425034026,376.76387668165756,48540,29741.646866580075
160,52,0.7589131705558623,362.58163034332955,49280,29741.646866580075
170,52,0.7142712193466938,350.1721995361876,50020,29741.646866580075
180,52,0.6745894849385445,339.2333777067401,50760,29741.646866580075
190,52,0.6390847752049365,329.50499690016227,51500,29741.646866580075
200,52,0.6071305364446894,320.86343333533375,52240,29741.646866580075
70,54,1409.4120234786092,805.2519380614762,44060,29741.646866580075
80,54,717.9011817762266,676.2748728220614,44800,29741.646866580075
90,54,308.27564004855674,607.6168705691051,45540,29741.646866580075
100,54,110.70481425620879,559.8415393126395,46280,29741.646866580075
110,54,33.11509765656787,522.4565631607919,47020,29741.646866580075
120,54,9.100400902259594,491.62039521133136,47760,29741.646866580075
130,54,2.828728245505024,465.6401130488021,48500,29741.646866580075
140,54,1.2116835235446688,443.5271081934321,49240,29741.646866580075
