cells,panels,penalty_v,penalty_p,cost,sum_d
150,40,3405.0273126332786,0.0,39900,34161.018868373605
160,40,3531.6234056340354,0.0,40640,34161.018868373605
170,40,3658.111126018022,0.0,41380,34161.018868373605
180,40,3784.229220836628,0.0,42120,34161.018868373605
190,40,3909.647958428048,0.0,42860,34161.018868373605
200,40,4033.9543047825987,0.0,43600,34161.018868373605
210,40,4156.319391150297,0.0,44340,34161.018868373605
220,40,4276.311415163614,0.0,45080,34161.018868373605
230,40,4393.513451287392,0.0,45820,34161.018868373605
150,45,1021.1402799951527,17.227658356778917,43500,34161.018868373605
160,45,1043.38186340904,15.58408522874127,44240,34161.018868373605
170,45,1074.6266435569823,14.265232540750528,44980,34161.018868373605
180,45,1103.0786120451862,13.219294776459842,45720,34161.018868373605
190,45,1134.342582483379,12.348477297433234,46460,34161.018868373605
200,45,1164.2550803694219,11.496260510840656,47200,34161.018868373605
210,45,1188.2841378688431,10.708210294465038,47940,34161.018868373605
220,45,1224.6588255094778,9.993622594612486,48680,34161.018868373605
230,45,1271.0547267839022,9.12868262980779,49420,34161.018868373605
150,50,16.79277266300899,163.50533345317479,47100,34161.018868373605
160,50,10.66308379903911,158.63962097045666,47840,34161.018868373605
170,50,7.8781424938827875,154.47744191504805,48580,34161.018868373605
180,50,5.883155179882344,150.89546770874037,49320,34161.018868373605
190,50,4.656347424404088,147.8124706533981,50060,34161.018868373605
200,50,3.8186319412857586,145.1227885440573,50800,34161.018868373605
210,50,3.2963952160780896,142.72380200168035,51540,34161.018868373605
220,50,2.9548723122976233,140.63363360994558,52280,34161.018868373605
230,50,2.7131544581834612,138.86011659569797,53020,34161.018868373605
150,55,6.140555212909226,295.2957000071907,50700,34161.018868373605
160,55,3.066752337925108,284.4854518943471,51440,34161.018868373605
170,55,1.9640888289904987,275.07623169288536,52180,34161.018868373605
180,55,1.4342763971729309,266.8464737117866,52920,34161.018868373605
190,55,1.0929219421068948,259.58061869248434,53660,34161.018868373605
200,55,0.8966244742762801,253.062422335686,54400,34161.018868373605
210,55,0.7907134014110941,247.22717121090628,55140,34161.018868373605
220,55,0.7332127022633992,242.00959042359412,55880,34161.018868373605
230,55,0.7013338891215113,237.3529355531133,56620,34161.018868373605
150,60,4.40557313373314,416.9715356964167,54300,34161.018868373605
160,60,1.8707068319071474,400.1533554761834,55040,34161.018868373605
170,60,1.0879473991974098,385.39665136456523,55780,34161.018868373605
180,60,0.8476774794412968,372.35689473809924,56520,34161.018868373605
190,60,0.7166688404607789,360.7191997199466,57260,34161.018868373605
200,60,0.6356248714274868,350.2964918116444,58000,34161.018868373605
210,60,0.6048999015725702,340.99769827534413,58740,34161.018868373605
220,60,0.5774044515010901,332.5980044492996,59480,34161.018868373605
230,60,0.5522999101314767,324.9981637123571,60220,34161.018868373605
150,65,3.6099666684218406,533.2587192109389,57900,34161.018868373605
160,65,1.3517288702907777,510.40024644341213,58640,34161.018868373605
170,65,0.7861786005340455,490.27129871905345,59380,34161.018868373605
180,65,0.6582601345428416,472.42986344114365,60120,34161.018868373605
190,65,0.6079147601017334,456.5537890938208,60860,34161.018868373605
200,65,0.577519022096647,442.32646416870034,61600,34161.018868373605
210,65,0.5500181162825208,429.48437148403434,62340,34161.018868373605
220,65,0.5250172928151337,417.87763666881415,63080,34161.018868373605
230,65,0.5021904539970842,407.3480209083232,63820,34161.018868373605
150,70,3.2724335797700617,646.0602666206727,61500,34161.018868373605
160,70,1.1740674724430011,617.059760351735,62240,34161.018868373605
170,70,0.6957191866675251,591.5183250093683,62980,34161.018868373605
180,70,0.6416878023296074,568.9067100720574,63720,34161.018868373605
190,70,0.6079147601017334,548.7376749132594,64460,34161.018868373605
200,70,0.577519022096647,530.6379205588361,65200,34161.018868373605
210,70,0.5500181162825208,514.2905547547155,65940,34161.018868373605
220,70,0.5250172928151337,499.5062572874939,66680,34161.018868373605
230,70,0.5021904539970842,486.07158675791794,67420,34161.018868373605
150,75,3.1341870996771535,755.1348620402634,65100,34161.018868373605
160,75,1.1294235987031134,720.1090472243967,65840,34161.018868373605
170,75,0.6957191866675251,689.248166305576,66580,34161.018868373605
180,75,0.6416878023296074,661.8961884560928,67320,34161.018868373605
190,75,0.6079147601017334,637.4741523075759,68060,34161.018868373605
200,75,0.577519022096647,615.5340680304182,68800,34161.018868373605
210,75,0.5500181162825208,595.7535613650243,69540,34161.018868373605
220,75,0.5250172928151337,577.8283302823017,70280,34161.018868373605
230,75,0.5021904539970842,561.5170916647031,71020,34161.018868373605
150,80,3.1255471333087694,862.1725746927848,68700,34161.018868373605
160,80,1.1294235987031134,821.1550547268092,69440,34161.018868373605
170,80,0.6957191866675251,785.018093342899,70180,34161.018868373605
180,80,0.6416878023296074,752.9197709929474,70920,34161.018868373605
190,80,0.6079147601017334,724.2695728832458,71660,34161.018868373605
200,80,0.577519022096647,698.5807452365112,72400,34161.018868373605
210,80,0.5500181162825208,675.4023415960878,73140,34161.018868373605
220,80,0.5250172928151337,654.3729194326876,73880,34161.018868373605
230,80,0.5021904539970842,635.2113284875646,74620,34161.018868373605
150,40,3461.5235511292935,0.0,39900,34364.38342089441
160,40,3584.0544218595323,0.0,40640,34364.38342089441
170,40,3706.9878433722665,0.0,41380,34364.38342089441
180,40,3829.7406617437077,0.0,42120,34364.38342089441
190,40,3952.025473600926,0.0,42860,34364.38342089441
200,40,4073.5582606155704,0.0,43600,34364.38342089441
210,40,4193.497011799492,0.0,44340,34364.38342089441
220,40,4311.453686405188,0.0,45080,34364.38342089441
