confid,dist_name,params
3_hour_11,powerlognorm,"[0.2916695078530115, 0.5577855913126, -0.04872170164776278, 0.18299755460313133]"
3_hour_12,powerlognorm,"[0.4555590708684159, 0.6768411636002789, -0.03849430052238495, 0.22053410940027457]"
3_hour_13,powerlognorm,"[0.36104987197163885, 0.5961097684917889, -0.04788834669105836, 0.21325904791849482]"
3_hour_14,lognorm,"[0.8871492755226763, -0.02849551135363805, 0.3753526246258351]"
3_hour_15,powerlognorm,"[0.22065358763021536, 0.45846654789723695, -0.06425948912498225, 0.18724671276950083]"
3_hour_16,powerlognorm,"[0.31930146805678417, 0.5124362873549003, -0.06871153313574246, 0.24693891662571982]"
3_hour_17,powerlognorm,"[0.490351409857934, 0.5875733171850006, -0.07808337364445622, 0.36290399438338006]"
3_hour_18,lognorm,"[0.7313682085652954, -0.08739159067334173, 0.6807434439044796]"
3_hour_19,lognorm,"[0.6577613314744999, -0.13315395719318932, 0.8185753304079983]"
3_hour_20,lognorm,"[0.6285910032658429, -0.1282405041789717, 0.7753590889281485]"
3_hour_21,lognorm,"[0.6154369405012976, -0.12474301134623988, 0.7384451615117471]"
3_hour_22,powerlognorm,"[0.5172804676466757, 0.4836047096349323, -0.1427142631714727, 0.49500015054844615]"
3_hour_23,lognorm,"[0.7826865822362568, -0.04322653147067522, 0.420430354199224]"
4_hour_0,powerlognorm,"[0.1801224252950258, 0.36584967571157223, -0.04315428292147759, 0.1151301443015204]"
4_hour_1,powerlognorm,"[0.20987485041152126, 0.3626039657246117, -0.04183844263241855, 0.11356445614289742]"
4_hour_2,powerlognorm,"[0.22571654842407277, 0.3579332762617314, -0.041702795453112895, 0.11474524287022131]"
4_hour_3,powerlognorm,"[0.22245268618357134, 0.35964509481835694, -0.03921433903413235, 0.11063995909965012]"
4_hour_4,powerlognorm,"[0.2103564267553784, 0.36604714061161336, -0.039324104007856506, 0.1103420907296151]"
4_hour_5,powerlognorm,"[0.19362330442929765, 0.3739034542878368, -0.046974605651919805, 0.12459134214061246]"
4_hour_6,powerlognorm,"[0.2131113842114657, 0.3943055806393858, -0.0603406438327235, 0.167443645229105]"
4_hour_7,powerlognorm,"[0.254541698907466, 0.4033032393543323, -0.0833004002784567, 0.22919081528182708]"
4_hour_8,powerlognorm,"[0.21019767645880494, 0.4007941819373473, -0.07606849217459558, 0.20246192585014955]"
4_hour_9,powerlognorm,"[0.38274164545783984, 0.562911445141692, -0.05035835789818441, 0.21572218765798923]"
4_hour_10,powerlognorm,"[0.4081467949378366, 0.6167967015177398, -0.03900951678180944, 0.19934591135520865]"
4_hour_11,powerlognorm,"[0.28031550902208763, 0.5196163651337733, -0.0488384254358948, 0.1742886980346638]"
4_hour_12,powerlognorm,"[0.24603870566625222, 0.4786369310415625, -0.05494984401784659, 0.17660500479424918]"
4_hour_13,powerlognorm,"[0.20381055975575238, 0.42801768787241623, -0.06073752804060669, 0.16569886826349606]"
4_hour_14,powerlognorm,"[0.23796545533603303, 0.4443815088456383, -0.06229203177022179, 0.17750114322879706]"
4_hour_15,powerlognorm,"[0.273666375732354, 0.4572597909925922, -0.06719419623749162, 0.2068109038161081]"
4_hour_16,powerlognorm,"[0.3903702268806177, 0.5291353118296218, -0.06548703388957092, 0.268504615575877]"
4_hour_17,lognorm,"[0.7680989125527539, -0.0463167913461118, 0.4900115473702266]"
4_hour_18,lognorm,"[0.7404577530311978, -0.05186254654536311, 0.5322025113606481]"
4_hour_19,lognorm,"[0.6708713824361154, -0.08062437982943216, 0.6068385623039645]"
4_hour_20,powerlognorm,"[0.9670118411150539, 0.6006743198022987, -0.11280556346379454, 0.6627074094024326]"
4_hour_21,lognorm,"[0.5970235264028053, -0.10787128155098806, 0.6178382074260855]"
4_hour_22,powerlognorm,"[2.453539412910958, 1.003911742510764, -0.024424957867652763, 0.7883940243213138]"
4_hour_23,powerlognorm,"[0.12931944484344166, 0.3359922362151494, -0.05563530826794583, 0.12872823458187668]"
5_hour_0,powerlognorm,"[0.21630232948862627, 0.36606224952484107, -0.048575475542691385, 0.1272359867192571]"
5_hour_1,powerlognorm,"[0.27306031759510163, 0.3614546717473811, -0.05124849476759215, 0.1340186631716294]"
5_hour_2,lognorm,"[0.6099452116184307, -0.028959020735097325, 0.19448422837753399]"
5_hour_3,powerlognorm,"[0.27752326006911754, 0.3547745100060996, -0.04724783869342326, 0.12780338170335015]"
