confid,dist_name,params
3_hour_11,powerlognorm,"[0.10186275544982061, 0.36114166389717783, 0.013457740757352479, 0.10136405471474828]"
3_hour_12,powerlognorm,"[0.08539915431530722, 0.3392925479243203, 0.010748828888065517, 0.10318396946116296]"
3_hour_13,powerlognorm,"[0.14083288256264284, 0.3935460680883256, -0.0011186675052620128, 0.1278144520132434]"
3_hour_14,lognorm,"[0.857218899439155, 0.0247549268666541, 0.2938444844759175]"
3_hour_15,powerlognorm,"[0.1442688962925355, 0.39827554212035726, 0.0073727576144171315, 0.12125891646925313]"
3_hour_16,powerlognorm,"[0.09982098687954877, 0.33796921850764755, 0.002336625624978444, 0.12989926881283326]"
3_hour_17,lognorm,"[0.8337331696524863, 0.027214938009806684, 0.44276641342355316]"
3_hour_18,powerlognorm,"[0.10506501171778883, 0.2926968483568365, -0.05982683013632281, 0.2449869365511039]"
3_hour_19,powerlognorm,"[0.13215791098099777, 0.31895240655069446, -0.06435742392413243, 0.27422283882895654]"
3_hour_20,lognorm,"[0.6920970058477236, -0.007388401647435773, 0.553472213863545]"
3_hour_21,lognorm,"[0.6786617009583116, -0.00828288065066169, 0.5247997275232676]"
3_hour_22,powerlognorm,"[0.1354129234578297, 0.26631439637579624, -0.07800692831267203, 0.2791318453483195]"
3_hour_23,powerlognorm,"[0.16836996221377276, 0.36641419685045523, -0.012409650513592597, 0.1552437410579749]"
4_hour_0,lognorm,"[0.7657772601258022, 0.03228677976596055, 0.15360211894201595]"
4_hour_1,gamma,"[1.6163821300184302, 0.048022934572539686, 0.09154719477625531]"
4_hour_2,gamma,"[2.104594578611805, 0.04607853866063946, 0.06735504495124421]"
4_hour_3,powerlognorm,"[21.456037206785048, 1.2238590326944008, 0.029428937340599613, 1.2900039780527552]"
4_hour_4,beta,"[1.6110606934044203, 3909949342.000474, 0.04813577589745044, 336889062.3149883]"
4_hour_5,powerlognorm,"[0.2460978679262354, 0.4503731390546196, 0.015779299528924352, 0.08853010697839675]"
4_hour_6,powerlognorm,"[0.11216567066414601, 0.3870442178966873, 0.02619314004734919, 0.08791382464338157]"
4_hour_7,powerlognorm,"[0.09171314354069618, 0.33562212498501465, 0.04604831944932891, 0.09717796874574322]"
4_hour_8,lognorm,"[0.9290877331826835, 0.062324695666976494, 0.28672570640292716]"
4_hour_9,lognorm,"[0.9162466987576531, 0.034155207041304196, 0.2975222671470854]"
4_hour_10,powerlognorm,"[0.10182412029559201, 0.35439012906802003, 0.013237063938500061, 0.09995740285901762]"
4_hour_11,powerlognorm,"[0.13098991234501386, 0.3941284547005642, 0.0172786450613099, 0.10965788386356426]"
4_hour_12,powerlognorm,"[0.1207220281847633, 0.39125788132513195, 0.030840999302182273, 0.0919537302734964]"
4_hour_13,powerlognorm,"[0.14709791730412025, 0.3859406254634974, 0.010700132985530329, 0.11606431725209887]"
4_hour_14,powerlognorm,"[0.1115959220794526, 0.3335910691173537, 0.017370022995986834, 0.10300540932814628]"
4_hour_15,lognorm,"[0.8919112523601427, 0.04329693531336373, 0.29241263965713915]"
4_hour_16,lognorm,"[0.8363768272654435, 0.03827646905641932, 0.3446611875537271]"
4_hour_17,powerlognorm,"[0.16646137938105798, 0.38042565234335896, -0.010332300634536178, 0.19140221899299648]"
4_hour_18,lognorm,"[0.8396722707336499, 0.05196177888092235, 0.36485001385875093]"
4_hour_19,lognorm,"[0.7830479422126954, 0.03523811835111062, 0.4592425690999885]"
4_hour_20,powerlognorm,"[2.9675038267830467, 0.984590971090497, 0.04020089567380211, 1.066849034545355]"
4_hour_21,powerlognorm,"[0.09157448573650734, 0.23626946440549962, -0.04130259989165208, 0.22472012350700568]"
4_hour_22,lognorm,"[0.8296177155983606, 0.0516051427008852, 0.2856329410755274]"
4_hour_23,powerlognorm,"[0.008182367926537672, 0.08503112744043681, -0.024106342613990615, 0.0858208071554261]"
5_hour_0,lognorm,"[0.7727163465099265, 0.03872265741761469, 0.14124204541940186]"
5_hour_1,powerlognorm,"[17.261057113919236, 1.5551209310239824, 0.04893630234445194, 1.8694795288811914]"
5_hour_2,gamma,"[2.343498188800567, 0.04343242074980666, 0.0593901738765364]"
5_hour_3,beta,"[2.356708827952442, 74.55196168264678, 0.04473547963414892, 4.45712352108157]"
5_hour_4,lognorm,"[0.724202391888796, 0.03749136420392789, 0.11701808387314724]"
5_hour_5,lognorm,"[1.0026463454943149, 0.04223018010818555, 0.15806376041736114]"
5_hour_6,powerlognorm,"[0.0648245786077046, 0.34596535679948615, 0.030699200790539206, 0.05780922646376474]"
5_hour_7,lognorm,"[0.7046415906095556, 0.024957784342438567, 0.2928234115544793]"
5_hour_8,powerlognorm,"[0.10316554270722564, 0.3312561927660863, -0.0009656769355075836, 0.1116167597151396]"
5_hour_9,powerlognorm,"[0.07394561652986513, 0.29000404526924906, 0.0027055023944141535, 0.09635953246635572]"
5_hour_10,powerlognorm,"[0.047015380887087496, 0.2277480942994925, -0.005997864937060988, 0.09705563493173869]"
5_hour_11,powerlognorm,"[0.24363454624671582, 0.49916269880689357, 0.014863324864599105, 0.1304665750735607]"
5_hour_12,powerlognorm,"[0.23265980399424854, 0.5222447282403551, 0.02980975362350398, 0.10740924557039261]"
5_hour_13,powerlognorm,"[0.1436701553815063, 0.401579684130559, 0.028315357324555847, 0.09536718243928904]"
5_hour_14,powerlognorm,"[0.12235142190418191, 0.37812297639505504, 0.016171255840089084, 0.09409550461052382]"
5_hour_15,lognorm,"[0.918452142501496, 0.043853786778888, 0.27315569007899054]"
5_hour_16,lognorm,"[0.8562284089111503, 0.021445591028719214, 0.32884840513535263]"
5_hour_17,lognorm,"[0.7546993829588882, 0.01135989517314975, 0.3714070959014345]"
5_hour_18,lognorm,"[0.759107055455678, 0.012063270007984345, 0.37331849082061974]"
5_hour_19,powerlognorm,"[2.3547666632095545, 1.022069521775461, 0.03551413023337127, 0.7379257880979645]"
5_hour_20,powerlognorm,"[2.4308306292521396, 0.9457013672457337, 0.016215628666225876, 0.834736168754262]"
5_hour_21,powerlognorm,"[123.0952447535798, 2.10793243460094, 0.09680636539144316, 71.37302144889864]"
5_hour_22,lognorm,"[0.7922562882706741, 0.03986587882433153, 0.2760294031192293]"
5_hour_23,powerlognorm,"[0.05556422125231, 0.21392366642755511, -0.0029196175576956308, 0.08476867066392424]"
6_hour_0,lognorm,"[0.8180122755351817, 0.0422803147837236, 0.15230970622720555]"
6_hour_1,lognorm,"[0.7215985852172954, 0.035074916685954916, 0.14101277208328183]"
6_hour_2,powerlognorm,"[1.406970775470457, 0.71173511280785, 0.03138281026232353, 0.17117193317482166]"
6_hour_3,powerlognorm,"[2.2389885942289887, 0.9394775020791474, 0.04811398641779302, 0.2110921693403551]"
6_hour_4,powerlognorm,"[3.9540063940439656, 0.9811969066729691, 0.03853460780487357, 0.32811651039215206]"
6_hour_5,powerlognorm,"[0.1539455551314641, 0.4536410478350802, 0.031435235574991435, 0.05922330463340484]"
6_hour_6,powerlognorm,"[0.09650417922356742, 0.4261228896838997, 0.03388658037084719, 0.05457531164917517]"
