cells,panels,penalty_v,penalty_p,cost,sum_d
210,30,5435.375828325366,0.0,37140,28558.384058907417
220,30,5523.429598276137,0.0,37880,28558.384058907417
230,30,5603.8158253816655,0.0,38620,28558.384058907417
150,35,3296.55523399181,0.0,36300,28558.384058907417
160,35,3450.7569384925437,0.0,37040,28558.384058907417
170,35,3604.204877107041,0.0,37780,28558.384058907417
180,35,3755.8648114627176,0.0,38520,28558.384058907417
190,35,3904.5038845782465,0.0,39260,28558.384058907417
200,35,4049.6926626419495,0.0,40000,28558.384058907417
210,35,4189.95962459039,0.0,40740,28558.384058907417
220,35,4323.9879155983235,0.0,41480,28558.384058907417
230,35,4451.177272170442,0.0,42220,28558.384058907417
150,40,12.880264942551849,95.49329050092786,39900,28558.384058907417
160,40,9.587872451069957,93.84391131948382,40640,28558.384058907417
170,40,6.875813183140618,92.59459276054972,41380,28558.384058907417
180,40,4.126665243999599,91.62576393555591,42120,28558.384058907417
190,40,2.4779845502576476,90.87128678060911,42860,28558.384058907417
200,40,1.4276107140672858,90.26005323320317,43600,28558.384058907417
210,40,0.8345004478184913,89.81217007922518,44340,28558.384058907417
220,40,0.530099080560817,89.50164173518237,45080,28558.384058907417
230,40,0.40723056583069983,89.27544453576898,45820,28558.384058907417
150,45,0.7657277284760056,243.18977324124683,43500,28558.384058907417
160,45,0.5783496007885627,235.61890430284348,44240,28558.384058907417
170,45,0.47731651471051284,229.0556114868993,44980,28558.384058907417
180,45,0.44176672795198735,223.28831207981574,45720,28558.384058907417
190,45,0.41851584753346194,218.29092319020384,46460,28558.384058907417
200,45,0.3975900551567888,213.87106407045655,47200,28558.384058907417
210,45,0.3786571953874176,209.96471347019877,47940,28558.384058907417
220,45,0.36144550468798975,206.49924039666516,48680,28558.384058907417
230,45,0.3457304827450335,203.4135637514701,49420,28558.384058907417
150,50,0.6463095518014769,368.3370483901762,47100,28558.384058907417
160,50,0.517384583704604,354.8052673970724,47840,28558.384058907417
